time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.56000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.57000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82987;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.58000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.59000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82987;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.60000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.61000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82987;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.62000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.63000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.64000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.65000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.66000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.67000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.68000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.69000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.70000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.71000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.72000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.73000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.74000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.75000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.76000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.77000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.78000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.79000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.80000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04886;1.04756;0.82988;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
