X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

748.35E-3;899.44711379E-3;-114.95168363E-3;931.17443731E-3;98.195822277E-3;-320.62479057E3;-302.84014849E3;
748.4E-3;899.39804344E-3;-114.90584159E-3;931.1069642E-3;98.193301525E-3;-321.94828522E3;-304.83215509E3;
748.45E-3;899.34900682E-3;-114.85999632E-3;931.03951165E-3;98.190705125E-3;-323.19259462E3;-306.74910237E3;
748.5E-3;899.30000393E-3;-114.81414789E-3;930.9720797E-3;98.188033203E-3;-324.35741221E3;-308.5905176E3;
748.55E-3;899.25103474E-3;-114.76829637E-3;930.90466838E-3;98.185285884E-3;-325.44245098E3;-310.35594665E3;
748.6E-3;899.20209925E-3;-114.72244184E-3;930.83727772E-3;98.182463294E-3;-326.44744357E3;-312.0449541E3;
748.65E-3;899.15319746E-3;-114.67658435E-3;930.76990775E-3;98.179565561E-3;-327.37214229E3;-313.65712336E3;
748.7E-3;899.10432934E-3;-114.63072398E-3;930.70255851E-3;98.176592809E-3;-328.21631923E3;-315.19205675E3;
748.75E-3;899.05549489E-3;-114.5848608E-3;930.63523003E-3;98.173545167E-3;-328.97976628E3;-316.64937564E3;
748.8E-3;899.0066941E-3;-114.53899489E-3;930.56792233E-3;98.17042276E-3;-329.66229519E3;-318.02872051E3;
748.85E-3;898.95792696E-3;-114.4931263E-3;930.50063546E-3;98.167225716E-3;-330.26373764E3;-319.32975102E3;
748.9E-3;898.90919346E-3;-114.44725512E-3;930.43336944E-3;98.163954162E-3;-330.78394526E3;-320.55214616E3;
748.95E-3;898.86049359E-3;-114.40138141E-3;930.36612431E-3;98.160608226E-3;-331.22278965E3;-321.69560426E3;
749E-3;898.81182733E-3;-114.35550523E-3;930.29890009E-3;98.157188035E-3;-331.58016245E3;-322.7598431E3;
749.05E-3;898.76319468E-3;-114.30962666E-3;930.23169683E-3;98.153693718E-3;-331.85597535E3;-323.74459999E3;
749.1E-3;898.71459563E-3;-114.26374577E-3;930.16451455E-3;98.150125402E-3;-332.05016011E3;-324.6496318E3;
749.15E-3;898.66603016E-3;-114.21786263E-3;930.09735328E-3;98.146483215E-3;-332.16266856E3;-325.47471504E3;
749.2E-3;898.61749827E-3;-114.17197731E-3;930.03021307E-3;98.142767287E-3;-332.19347265E3;-326.21964593E3;
749.25E-3;898.56899995E-3;-114.12608987E-3;929.96309393E-3;98.138977745E-3;-332.14256442E3;-326.88424041E3;
749.3E-3;898.52053517E-3;-114.08020038E-3;929.8959959E-3;98.135114719E-3;-332.00995603E3;-327.46833423E3;
749.35E-3;898.47210394E-3;-114.03430891E-3;929.82891902E-3;98.131178336E-3;-331.79567975E3;-327.97178296E3;
749.4E-3;898.42370625E-3;-113.98841554E-3;929.76186332E-3;98.127168728E-3;-331.49978793E3;-328.39446204E3;
749.45E-3;898.37534208E-3;-113.94252032E-3;929.69482882E-3;98.123086022E-3;-331.12235302E3;-328.73626681E3;
749.5E-3;898.32701142E-3;-113.89662334E-3;929.62781557E-3;98.118930349E-3;-330.66346754E3;-328.99711252E3;
